# checkSRC_URI result
# root : /data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/
# date : 2026-05-22 11:10:31
# STATUS	FILE	URI
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-support/sqlite/sqlite3_3.45.3.bb	http://www.sqlite.org/2024/sqlite-autoconf-${SQLITE_PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-support/tcpdump/tcpdump_4.99.0.bb	http://www.tcpdump.org/release/${BP}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-support/uthash/uthash_2.1.0.bb	git://github.com/troydhanson/${BPN}.git
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes/dnsmasq/dnsmasq.inc	http://www.codeaurora.org/mirrored_source/quic/le/dnsmasq-${PV}.tar.gz;name=dnsmasq-${PV}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-connectivity/dataman/dataman_0.1.bb	git://vgit.lge.com:29440/pap/application/HKMC/DataManager;tag=${NETMAN_GIT_TAG};branch=master;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-connectivity/wifiman/wifiman_0.1.bb	git://vgit.lge.com:29440/pap/application/HKMC/WifiManager;tag=${WIFI_GIT_TAG};branch=master;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-core/systemd-services/debug-service.inc	file://debug-services/${TIGRIS_ENV}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-devtools/bugreport/bugreport.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-sample-apps/template-app/template-app_0.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-servicelayer/systemproperty/systemproperty.bbappend	file://${THISDIR}/files/user-id-bypass-check.patch
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-services/antenna-service/for-qemu-run.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-services/hmi-service/for-qemu-run.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-services/operationmode-service/operationmode-app_0.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-services/progmgr-service/uphandler-service.inc	file://${PKG_DIR_NAME}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-services/progmgr-service/uphandler-service.inc	file://${PKG_DIR_NAME}/service_uphandler/;subdir=${WORKDIR}/local-variant
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-support/libpagemap/libpagemap_7.1.1.bb	git://vgit.lge.com:29420/tiger/utils/libpagemap;protocol=ssh;tag=android-${PV}_r6_${PR}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-support/librank/librank_7.1.1.bb	git://vgit.lge.com:29420/tiger/daemons/librank;protocol=ssh;tag=android-${PV}_r6_${PR}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-support/procrank/procrank_7.1.1.bb	git://vgit.lge.com:29420/tiger/daemons/procrank;protocol=ssh;tag=android-${PV}_r6_${PR}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-test/gtest/gtest_1.8.0.bb	https://github.com/google/googletest/archive/release-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/recipes-utils/libfilemgr/libfilemgr.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-tiger/tiger-interface-json-append.inc	file://${PN}-append.json
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-24dcm/meta-tiger-desktop-24dcm/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-26bev/meta-tiger-desktop-26bev/recipes-devtools/qmi-hook-supporter/qmi-hook-supporter.bb	file://${PKG_DIR_NAME}/${SRC_SUB_PATH}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-desktop/meta-tiger-desktop-desktop/recipes-support/json-for-modern-cpp/json-for-modern-cpp_3.0.0.bb	https://github.com/nlohmann/json/archive/refs/tags/v${PV}.zip
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/tiger-desktop/desktop-build/desktop-gm_gen12/meta-tiger-desktop-gm_gen12/recipes-kernel/intel-ethernet/ixgbe_5.6.1.bb	https://sourceforge.net/projects/e1000/files/ixgbe%20stable/${PV}/${BP}.tar.gz
